group,country_code,name,overall,confidence,source_url,source_name
B,CAN,Kamal Miller,71,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/kamal-miller/247648,EA SPORTS FC official ratings
B,CAN,Richie Laryea,72,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/richie-laryea/232081,EA SPORTS FC official ratings
B,CAN,Alistair Johnston,78,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/alistair-johnston/256107,EA SPORTS FC official ratings
B,CAN,Derek Cornelius,74,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/derek-cornelius/243009,EA SPORTS FC official ratings
B,CAN,Stephen Eustáquio,77,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/stephen-eustaquio/242380,EA SPORTS FC official ratings
B,CAN,Jonathan Osorio,71,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/jonathan-osorio/213439,EA SPORTS FC official ratings
B,CAN,Mark-Anthony Kaye,67,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/mark-anthony-kaye/238922,EA SPORTS FC official ratings
B,CAN,Ismael Koné,72,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/ismael-kone/264207,EA SPORTS FC official ratings
B,CAN,Alphonso Davies,84,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/alphonso-davies/234396,EA SPORTS FC official ratings
B,CAN,Jonathan David,82,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/jonathan-david/243630,EA SPORTS FC official ratings
B,CAN,Cyle Larin,77,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/cyle-larin/226777,EA SPORTS FC official ratings
B,QAT,Akram Afif,78,medium,https://fifaindex.com/players/234051-akram-afif,FIFA Index
B,QAT,Almoez Ali,73,medium,https://fifaindex.com/players/268772-almoez-ali,FIFA Index
B,QAT,Meshaal Barsham,69,medium,https://fifaindex.com/players/268783-meshaal-barsham/fc26,FIFA Index
B,SUI,Gregor Kobel,86,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/gregor-kobel/235073,EA SPORTS FC official ratings
B,SUI,Miro Muheim,75,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/miro-muheim/232839,EA SPORTS FC official ratings
B,SUI,Silvan Widmer,72,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/silvan-widmer/216158,EA SPORTS FC official ratings
B,SUI,Nico Elvedi,77,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/nico-elvedi/221491,EA SPORTS FC official ratings
B,SUI,Manuel Akanji,82,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/manuel-akanji/229237,EA SPORTS FC official ratings
B,SUI,Denis Zakaria,82,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/denis-zakaria/229261,EA SPORTS FC official ratings
B,SUI,Breel Embolo,77,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/breel-embolo/222357,EA SPORTS FC official ratings
B,SUI,Remo Freuler,81,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/remo-freuler/202024,EA SPORTS FC official ratings
B,SUI,Johan Manzambi,67,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/johan-manzambi/276694,EA SPORTS FC official ratings
B,SUI,Granit Xhaka,85,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/granit-xhaka/199503,EA SPORTS FC official ratings
B,SUI,Dan Ndoye,79,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/dan-ndoye/257980,EA SPORTS FC official ratings
B,SUI,Yvon Mvogo,76,medium,https://fifaindex.com/players/206003-yvon-mvogo,FIFA Index
